method,time,ux_m,vx_m_s,ax_raw_m_s2,ax_m_s2,uy_m,vy_m_s,ay_raw_m_s2,ay_m_s2,uz_m,vz_m_s,az_raw_m_s2,az_m_s2
calg,0.0005,0.0,0.4889312810988906,0.0,0.0,0.0,0.0130577124681439,0.0,0.0,0.0,-0.2155132656152256,-9.809999999999985,-9.809999999999985
calg,0.001,0.00024446564054958486,0.4889312810988906,0.0,0.0,6.528856234000804e-06,0.0130577124681439,0.0,0.0,-0.00011020913280759825,-0.2204182656152255,-9.809999999999985,-9.809999999999985
calg,0.0015,0.0004889312810990587,0.4889312810988906,0.0,0.0,1.3057712468100488e-05,0.0130577124681439,0.0,0.0,-0.00022287076561521013,-0.2253232656152255,-9.809999999999985,-9.809999999999985
calg,0.002,0.0007333969216484215,0.4889312810988906,0.0,0.0,1.958656870220017e-05,0.0130577124681439,0.0,0.0,-0.0003379848984228079,-0.2302282656152255,-9.809999999999985,-9.809999999999985
calg,0.0025,0.0009778625621978954,0.4889312810988906,0.0,0.0,2.6115424936200976e-05,0.0130577124681439,0.0,0.0,-0.0004555515312305025,-0.2351332656152255,-9.809999999999985,-9.809999999999985
calg,0.003,0.0012223282027474802,0.4889312810988906,0.0,0.0,3.264428117030066e-05,0.0130577124681439,0.0,0.0,-0.0005755706640380998,-0.2400382656152255,-9.809999999999985,-9.809999999999985
calg,0.0035,0.001466793843296843,0.4889312810988906,0.0,0.0,3.917313740440034e-05,0.0130577124681439,0.0,0.0,-0.0006980422968457106,-0.2449432656152255,-9.809999999999985,-9.809999999999985
calg,0.004,0.0017112594838463169,0.4889312810988906,0.0,0.0,4.570199363850003e-05,0.0130577124681439,0.0,0.0,-0.0008229664296533074,-0.2498482656152255,-9.809999999999985,-9.809999999999985
calg,0.0045,0.0019557251243957907,0.4889312810988906,0.0,0.0,5.223084987250083e-05,0.0130577124681439,0.0,0.0,-0.0009503430624609038,-0.2547532656152255,-9.809999999999985,-9.809999999999985
calg,0.005,0.0022001907649453756,0.4889312810988906,0.0,0.0,5.8759706106600515e-05,0.0130577124681439,0.0,0.0,-0.0010801721952685,-0.2596582656152255,-9.809999999999985,-9.809999999999985
calg,0.0054999999999999,0.0024446564054947384,0.4889312810988906,0.0,0.0,6.52885623407002e-05,0.0130577124681439,0.0,0.0,-0.00121245382807611,-0.2645632656152255,-9.809999999999985,-9.809999999999985
calg,0.006,0.0026891220460442122,0.4889312810988906,0.0,0.0,7.1817418574701e-05,0.0130577124681439,0.0,0.0,-0.0013471879608837056,-0.2694682656152255,-9.809999999999985,-9.809999999999985
calg,0.0065,0.002933587686593797,0.4889312810988906,0.0,0.0,7.834627480880069e-05,0.0130577124681439,0.0,0.0,-0.001484374593691301,-0.2743732656152255,-9.809999999999985,-9.809999999999985
calg,0.007,0.003178053327143271,0.4889312810988906,0.0,0.0,8.487513104290037e-05,0.0130577124681439,0.0,0.0,-0.0016240137264989102,-0.2792782656152255,-9.809999999999985,-9.809999999999985
calg,0.0074999999999999,0.0034225189676926338,0.4889312810988906,0.0,0.0,9.140398727700005e-05,0.0130577124681439,0.0,0.0,-0.0017661053593066023,-0.2841832656152255,-9.809999999999985,-9.809999999999985
calg,0.008,0.0036669846082421076,0.4889312810988906,0.0,0.0,9.793284351100086e-05,0.0130577124681439,0.0,0.0,-0.001910649492114197,-0.2890882656152254,-9.809999999999985,-9.809999999999985
calg,0.0085,0.0039114502487916925,0.4889312810988906,0.0,0.0,0.00010446169974510054,0.0130577124681439,0.0,0.0,-0.0020576461249218053,-0.2939932656152254,-9.809999999999985,-9.809999999999985
